GEO.id,GEO.id2,GEO.display-label,HD01_S01,HD02_S01,HD01_S02,HD02_S02,HD01_S03,HD02_S03,HD01_S04,HD02_S04,HD01_S05,HD02_S05,HD01_S06,HD02_S06,HD01_S07,HD02_S07,HD01_S08,HD02_S08,HD01_S09,HD02_S09,HD01_S10,HD02_S10,HD01_S18,HD02_S18,HD01_S23,HD02_S23,HD01_S24,HD02_S24,HD01_S25,HD02_S25,HD01_S26,HD02_S26,HD01_S27,HD02_S27,HD01_S28,HD02_S28,HD01_S29,HD02_S29,HD01_S30,HD02_S30,HD01_S31,HD02_S31,HD01_S32,HD02_S32,HD01_S33,HD02_S33,HD01_S34,HD02_S34,HD01_S35,HD02_S35,HD01_S36,HD02_S36,HD01_S37,HD02_S37,HD01_S38,HD02_S38,HD01_S39,HD02_S39,HD01_S40,HD02_S40,HD01_S41,HD02_S41,HD01_S42,HD02_S42
1400000US42001030101,42001030101,"Census Tract 301.01, Adams County, Pennsylvania",2580,100.0,2555,99.0,2510,97.3,9,0.3,3,0.1,3,0.1,0,0.0,0,0.0,0,0.0,7,0.3,0,0.0,26,1.0,25,1.0,12,0.5,13,0.5,0,0.0,0,0.0,2580,100.0,76,2.9,43,1.7,16,0.6,2,0.1,15,0.6,2504,97.1,2580,100.0,2555,99.0,70,2.7,2485,96.3,25,1.0,6,0.2,19,0.7
1400000US42001030102,42001030102,"Census Tract 301.02, Adams County, Pennsylvania",5780,100.0,5724,99.0,5516,95.4,15,0.3,7,0.1,3,0.1,0,0.0,0,0.0,4,0.1,35,0.6,3,0.1,148,2.6,56,1.0,18,0.3,38,0.7,0,0.0,0,0.0,5780,100.0,309,5.3,248,4.3,13,0.2,2,0.0,46,0.8,5471,94.7,5780,100.0,5724,99.0,288,5.0,5436,94.0,56,1.0,21,0.4,35,0.6
1400000US42001030500,42001030500,"Census Tract 305, Adams County, Pennsylvania",3767,100.0,3729,99.0,3555,94.4,25,0.7,5,0.1,5,0.1,0,0.0,0,0.0,0,0.0,8,0.2,0,0.0,136,3.6,38,1.0,9,0.2,20,0.5,1,0.0,8,0.2,3767,100.0,410,10.9,344,9.1,38,1.0,0,0.0,28,0.7,3357,89.1,3767,100.0,3729,99.0,394,10.5,3335,88.5,38,1.0,16,0.4,22,0.6
1400000US42001030600,42001030600,"Census Tract 306, Adams County, Pennsylvania",4928,100.0,4877,99.0,4571,92.8,102,2.1,3,0.1,2,0.0,1,0.0,0,0.0,0,0.0,51,1.0,3,0.1,147,3.0,51,1.0,8,0.2,42,0.9,0,0.0,1,0.0,4928,100.0,306,6.2,246,5.0,35,0.7,0,0.0,25,0.5,4622,93.8,4928,100.0,4877,99.0,292,5.9,4585,93.0,51,1.0,14,0.3,37,0.8
1400000US42001030700,42001030700,"Census Tract 307, Adams County, Pennsylvania",6493,100.0,6399,98.6,6110,94.1,70,1.1,6,0.1,3,0.0,0,0.0,0,0.0,3,0.0,42,0.6,0,0.0,171,2.6,94,1.4,15,0.2,79,1.2,0,0.0,0,0.0,6493,100.0,389,6.0,298,4.6,55,0.8,1,0.0,35,0.5,6104,94.0,6493,100.0,6399,98.6,369,5.7,6030,92.9,94,1.4,20,0.3,74,1.1
1400000US42001030800,42001030800,"Census Tract 308, Adams County, Pennsylvania",7451,100.0,7369,98.9,7064,94.8,93,1.2,7,0.1,5,0.1,0,0.0,0,0.0,2,0.0,56,0.8,4,0.1,145,1.9,82,1.1,19,0.3,62,0.8,0,0.0,1,0.0,7451,100.0,320,4.3,205,2.8,76,1.0,5,0.1,34,0.5,7131,95.7,7451,100.0,7369,98.9,298,4.0,7071,94.9,82,1.1,22,0.3,60,0.8
1400000US42001030900,42001030900,"Census Tract 309, Adams County, Pennsylvania",7300,100.0,7211,98.8,6782,92.9,103,1.4,22,0.3,6,0.1,0,0.0,0,0.0,16,0.2,28,0.4,3,0.0,273,3.7,89,1.2,32,0.4,57,0.8,0,0.0,0,0.0,7300,100.0,698,9.6,544,7.5,113,1.5,3,0.0,38,0.5,6602,90.4,7300,100.0,7211,98.8,668,9.2,6543,89.6,89,1.2,30,0.4,59,0.8
1400000US42001031000,42001031000,"Census Tract 310, Adams County, Pennsylvania",1781,100.0,1765,99.1,1698,95.3,28,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,1.2,0,0.0,18,1.0,16,0.9,0,0.0,16,0.9,0,0.0,0,0.0,1781,100.0,27,1.5,13,0.7,9,0.5,0,0.0,5,0.3,1754,98.5,1781,100.0,1765,99.1,25,1.4,1740,97.7,16,0.9,2,0.1,14,0.8
1400000US42001031101,42001031101,"Census Tract 311.01, Adams County, Pennsylvania",5163,100.0,5101,98.8,4935,95.6,41,0.8,8,0.2,5,0.1,0,0.0,0,0.0,3,0.1,27,0.5,0,0.0,90,1.7,62,1.2,9,0.2,51,1.0,0,0.0,2,0.0,5163,100.0,231,4.5,129,2.5,54,1.0,7,0.1,41,0.8,4932,95.5,5163,100.0,5101,98.8,221,4.3,4880,94.5,62,1.2,10,0.2,52,1.0
1400000US42001031102,42001031102,"Census Tract 311.02, Adams County, Pennsylvania",3179,100.0,3140,98.8,3054,96.1,25,0.8,4,0.1,0,0.0,0,0.0,0,0.0,4,0.1,33,1.0,0,0.0,24,0.8,39,1.2,0,0.0,30,0.9,0,0.0,9,0.3,3179,100.0,68,2.1,30,0.9,12,0.4,0,0.0,26,0.8,3111,97.9,3179,100.0,3140,98.8,68,2.1,3072,96.6,39,1.2,0,0.0,39,1.2
1400000US42001031201,42001031201,"Census Tract 312.01, Adams County, Pennsylvania",3670,100.0,3624,98.7,3481,94.9,75,2.0,12,0.3,5,0.1,0,0.0,0,0.0,7,0.2,34,0.9,0,0.0,22,0.6,46,1.3,4,0.1,42,1.1,0,0.0,0,0.0,3670,100.0,73,2.0,42,1.1,13,0.4,1,0.0,17,0.5,3597,98.0,3670,100.0,3624,98.7,67,1.8,3557,96.9,46,1.3,6,0.2,40,1.1
1400000US42001031202,42001031202,"Census Tract 312.02, Adams County, Pennsylvania",2700,100.0,2668,98.8,2625,97.2,9,0.3,2,0.1,1,0.0,0,0.0,0,0.0,1,0.0,23,0.9,0,0.0,9,0.3,32,1.2,2,0.1,30,1.1,0,0.0,0,0.0,2700,100.0,38,1.4,22,0.8,2,0.1,3,0.1,11,0.4,2662,98.6,2700,100.0,2668,98.8,36,1.3,2632,97.5,32,1.2,2,0.1,30,1.1
1400000US42001031203,42001031203,"Census Tract 312.03, Adams County, Pennsylvania",3148,100.0,3108,98.7,3053,97.0,20,0.6,4,0.1,3,0.1,0,0.0,0,0.0,1,0.0,23,0.7,0,0.0,8,0.3,40,1.3,2,0.1,34,1.1,0,0.0,4,0.1,3148,100.0,67,2.1,36,1.1,15,0.5,1,0.0,15,0.5,3081,97.9,3148,100.0,3108,98.7,63,2.0,3045,96.7,40,1.3,4,0.1,36,1.1
1400000US42001031300,42001031300,"Census Tract 313, Adams County, Pennsylvania",4434,100.0,4370,98.6,4256,96.0,40,0.9,10,0.2,3,0.1,0,0.0,0,0.0,7,0.2,18,0.4,1,0.0,45,1.0,64,1.4,6,0.1,54,1.2,0,0.0,4,0.1,4434,100.0,110,2.5,65,1.5,28,0.6,1,0.0,16,0.4,4324,97.5,4434,100.0,4370,98.6,104,2.3,4266,96.2,64,1.4,6,0.1,58,1.3
1400000US42001031401,42001031401,"Census Tract 314.01, Adams County, Pennsylvania",3975,100.0,3921,98.6,3625,91.2,151,3.8,14,0.4,8,0.2,0,0.0,0,0.0,6,0.2,57,1.4,1,0.0,73,1.8,54,1.4,14,0.4,32,0.8,1,0.0,7,0.2,3975,100.0,198,5.0,129,3.2,35,0.9,1,0.0,33,0.8,3777,95.0,3975,100.0,3921,98.6,185,4.7,3736,94.0,54,1.4,13,0.3,41,1.0
