"trimmedTract","totalOwedByTract"
"42101000100",40919.62
"42101000401",2391.36
"42101001002",17724
"42101001101",2047.52
"42101001300",10319.21
"42101001400",23771.57
"42101001500",3920.09
"42101001800",2928.02
"42101001900",34386.17
"42101002000",7635.66
"42101002100",12210.36
"42101002400",5439.58
"42101002500",87533.75
"42101002701",13387.74
"42101002702",20906.13
"42101002801",7931.31
"42101002802",3441.79
"42101002900",9680.92
"42101003001",13465.16
"42101003002",9031.27
"42101003100",10885.3
"42101003200",11657.83
"42101003300",16148.39
"42101003600",3586.98
"42101003701",8516.94
"42101003702",1451.8
"42101003800",7678.02
"42101003901",751.39
"42101004001",12492.51
"42101004002",193.01
"42101004101",16821.88
"42101004102",25865.47
"42101004201",7571.94
"42101004202",5770.22
"42101005500",8969.34
"42101006000",16786.92
"42101006100",1322.92
"42101006200",6076.12
"42101006300",41140.79
"42101006400",13274.52
"42101006500",13477.62
"42101006600",28631.69
"42101006700",27928.55
"42101006900",1223.88
"42101007000",21627.53
"42101007101",8220.52
"42101007102",10677.61
"42101007200",7180.6
"42101007300",4894.28
"42101007400",9189.98
"42101007800",25674.57
"42101007900",4165.13
"42101008000",308.78
"42101008101",14722.3
"42101008102",13708.4
"42101008200",18115.46
"42101008301",24487.26
"42101008302",10321.25
"42101008400",14277.22
"42101008500",45650.88
"42101008602",2516.93
"42101008701",4658.67
"42101008802",2063.63
"42101009000",6061.51
"42101009100",1191.32
"42101009200",8866.13
"42101009300",30418.09
"42101009400",12298.44
"42101009500",13651.34
"42101009600",33550.37
"42101009802",221.25
"42101010000",1871.55
"42101010100",22161.88
"42101010200",18919.08
"42101010300",9827.07
"42101010400",25083.48
"42101010500",15410.44
"42101010600",14870.92
"42101010700",23323.75
"42101010800",54779.09
"42101010900",12079.25
"42101011000",53250.14
"42101011100",30844.86
"42101011200",24283.15
"42101011300",17329.45
"42101011400",18012.22
"42101011500",3030.58
"42101011700",10867.35
"42101011800",24427.5
"42101011900",37955.09
"42101013200",2181.55
"42101013300",640.89
"42101013402",3336.41
"42101013500",2311.95
"42101013700",22792.7
"42101013800",6819.05
"42101013900",1208.48
"42101014000",2457.04
"42101014100",23408.28
"42101014300",1920.41
"42101014400",13387.35
"42101014500",557.92
"42101014600",2155.2
"42101014700",633.99
"42101014800",515.84
"42101014900",20174.62
"42101015101",6920.81
"42101015102",17355.27
"42101015200",27651.91
"42101015300",2870.7
"42101015600",9120.85
"42101015700",49643.76
"42101015800",827.35
"42101016000",4587.96
"42101016100",11801.99
"42101016200",5848.21
"42101016300",30382.89
"42101016400",21104.05
"42101016500",24003.06
