"Census.Tract","Tax.Period","totalOwedByTract"
1,2000,715
1,2003,3715.24
1,2004,2935.81
1,2005,2941.38
1,2006,3212.49
1,2007,2948.77
1,2008,3014.92
1,2009,2863.76
1,2010,2712.6
1,2011,2812.89
1,2012,2747.97
1,2013,3766.59
1,2014,7075.79
1,2015,46765.49
4,2014,35304.95
4,2015,2391.36
10,2013,34946.85
10,2014,19100.9
10,2015,17724
11,2015,2047.52
12,2014,6968.93
13,2009,1413.77
13,2010,1341.09
13,2011,1389.29
13,2012,1358.08
13,2013,3431.24
13,2014,2155.53
13,2015,5250.43
14,2009,264.62
14,2010,87
14,2011,167.81
14,2012,218.63
14,2013,2645.76
14,2014,15239.49
14,2015,30440.29
15,2013,1714.64
15,2014,850.1
15,2015,3920.09
17,2003,359.07
17,2004,718.14
17,2008,205.98
17,2010,1216.43
17,2011,1794.69
17,2012,1754.6
17,2013,1704.76
17,2014,1343.94
17,2015,1268.81
18,2003,40.04
18,2004,38.42
18,2005,36.8
18,2006,35.19
18,2007,33.57
18,2008,31.97
18,2009,30.35
18,2010,28.73
18,2011,29.83
18,2012,29.12
18,2013,811.28
18,2014,620.86
18,2015,2412.54
19,2008,306.24
19,2010,20
19,2011,482.21
19,2012,328.35
19,2013,508.29
19,2014,9866.73
19,2015,31721.18
20,2000,2239.18
20,2001,2475.29
20,2002,2222.93
20,2003,2882.73
20,2004,3194.4
20,2005,2685.13
20,2006,2304.34
20,2007,2713.23
20,2008,3020.31
20,2009,3356.77
20,2010,4617.28
20,2011,5857.45
20,2012,5951.17
20,2013,5371.98
20,2014,16035.41
20,2015,24528.9
21,2000,552.3
21,2001,262.3
21,2002,253.31
21,2003,244.31
21,2004,235.32
21,2005,226.32
21,2006,217.33
21,2007,778.87
21,2008,993.43
21,2009,1078.2
21,2010,2973.01
21,2011,3307.99
21,2012,3455.01
21,2013,4343.78
21,2014,12332.24
21,2015,21473.92
22,2009,39.4
22,2010,3909.57
22,2011,4176.78
22,2012,5642.77
22,2013,5033.29
22,2014,13537.42
22,2015,16280.11
24,2008,901.7
24,2009,725.02
24,2010,923.15
24,2011,924.58
24,2012,696.34
24,2013,806.95
24,2014,3188.5
24,2015,5439.58
25,2000,185.24
25,2001,110.18
25,2002,106.94
25,2003,103.71
25,2004,100.49
25,2005,97.26
25,2006,94.02
25,2007,90.8
25,2008,93.95
25,2009,90.4
25,2010,86.85
25,2011,89.22
25,2012,87.69
25,2014,110185.72
25,2015,53018.42
27,2002,1112.79
27,2006,1531.64
27,2007,1652.76
27,2008,1312.72
27,2009,1254.99
27,2010,1609.9
27,2011,1564.14
27,2012,6040.57
27,2013,6242.66
27,2014,18143.87
27,2015,37341.04
28,2006,848.13
28,2009,764.64
28,2011,1173.04
28,2012,2814.31
28,2013,6848.13
28,2014,7384.55
28,2015,21534.23
29,2014,2741.31
29,2015,8788.44
30,2002,275.64
30,2003,37.01
30,2004,50.62
30,2005,2107.43
30,2006,183.68
30,2007,461.12
30,2008,639.98
30,2009,2006.32
30,2010,2177.78
30,2011,2416.02
30,2012,2802.59
30,2013,2759.17
30,2014,20024.57
30,2015,41661.07
31,2000,2842.89
31,2001,1402.55
31,2002,1317.91
31,2003,1269.37
31,2004,1211.64
31,2005,715.42
31,2006,1330.95
31,2007,2812.11
31,2008,2450.05
31,2009,3072.53
31,2010,3007.09
31,2011,3241.49
31,2012,2976.03
31,2013,3509.84
31,2014,21523.17
31,2015,34536.72
32,2000,633.01
32,2001,618.84
32,2002,1352.33
32,2003,2860.91
32,2004,2026.38
32,2005,3204.78
32,2006,2306.48
32,2007,3262.3
32,2008,2977.08
32,2009,4568.94
32,2010,5187.96
32,2011,5125.3
32,2012,5854
32,2013,5671.77
32,2014,20493.8
32,2015,31871.16
33,2000,10852.81
33,2001,8469.68
33,2002,8441.47
33,2003,7823.64
33,2004,6793.2
33,2005,7416.57
33,2006,7304.36
33,2007,7140.16
33,2008,8794.67
33,2009,8617.97
33,2010,8382.42
33,2011,8470
33,2012,7666.63
33,2013,8030.16
33,2014,26918.36
33,2015,33814.4
34,2000,203.21
34,2001,196.74
34,2002,190.29
34,2003,183.83
34,2004,177.37
34,2005,170.91
34,2006,164.46
34,2007,157.99
34,2008,164.33
34,2009,157.22
34,2010,150.12
34,2011,154.84
34,2012,151.77
34,2013,147.98
34,2014,3003.2
34,2015,2029.48
36,2008,371.91
36,2009,1321.73
36,2010,2511.8
36,2011,3504.27
36,2012,3166.63
36,2013,2924.63
36,2014,7786.99
36,2015,8776.92
37,2000,3176.95
37,2001,3064.31
37,2002,2951.67
37,2003,3916.36
37,2004,3685.33
37,2005,4728.28
37,2006,3495.15
37,2007,3426.33
37,2008,3743.61
37,2009,3936.97
37,2010,5833.76
37,2011,6339.65
37,2012,6193.97
37,2013,6419.28
37,2014,13949.45
37,2015,23788.91
38,2014,4756.03
38,2015,13415.39
39,2014,982.61
39,2015,2679.84
40,2000,30.15
40,2001,30.22
40,2002,30.29
40,2003,73.94
40,2004,142.11
40,2005,131.95
40,2006,121.8
40,2007,98.72
40,2008,94.6
40,2009,101.35
40,2010,89.76
40,2011,500.75
40,2012,2335.2
40,2013,1778.33
40,2014,5614.09
40,2015,14683.12
41,2000,409.77
41,2001,319.95
41,2002,304.12
41,2003,290.39
41,2004,1013.43
41,2005,987.53
41,2006,266.28
41,2007,806.69
41,2008,2072.93
41,2009,2877.26
41,2010,4236.26
41,2011,5025.52
41,2012,6173.73
41,2013,8418.47
41,2014,29136.75
41,2015,53183.99
42,2000,9650.18
42,2001,10194.4
42,2002,9964.76
42,2003,9631.99
42,2004,11565.09
42,2005,9607.74
42,2006,9828
42,2007,10466.63
42,2008,10253
42,2009,9968.47
42,2010,9844.92
42,2011,10221.7
42,2012,11949
42,2013,10422.71
42,2014,20913.27
42,2015,36220.11
44,2012,35.38
44,2014,2668.53
44,2015,9736.65
46,2012,204.26
46,2014,1839.18
54,2013,3247.74
54,2014,3681.96
54,2015,2294.29
55,2004,223.95
55,2005,4017.57
55,2006,3935.74
55,2007,3721.15
55,2008,4189.81
55,2009,4053.28
55,2010,4057.12
55,2011,3915.78
55,2012,4296.12
55,2013,5874.51
55,2014,12230.55
55,2015,13242.14
60,2000,4084.15
60,2001,3913.97
60,2002,3982.85
60,2003,4506.84
60,2004,4633.39
60,2005,4399.41
60,2006,4177.33
60,2007,3951.05
60,2008,3989.26
60,2009,3585.71
60,2010,4284.49
60,2011,4308.89
60,2012,9372.14
60,2013,14988.39
60,2014,14764.72
60,2015,25394.03
61,2008,30
61,2009,23.18
61,2011,158.85
61,2012,783.91
61,2013,539.09
61,2014,564.21
61,2015,1267.13
62,2000,2089.07
62,2001,2014.79
62,2002,2165.52
62,2003,2258.78
62,2004,2360.9
62,2005,3735.09
62,2006,3651.16
62,2007,3774.93
62,2008,3635.69
62,2009,3454.5
62,2010,3273.31
62,2011,4189.52
62,2012,4290.27
62,2013,4019.68
62,2014,9908.02
62,2015,16933.83
63,2000,4793.08
63,2001,4633.63
63,2002,4510.95
63,2003,4314.75
63,2004,3300.62
63,2005,4167.71
63,2006,3931.94
63,2007,3975.14
63,2008,6847
63,2009,7488.95
63,2010,6624.35
63,2011,7377.48
63,2012,10063.77
63,2013,11384.76
63,2014,40975.94
63,2015,48392.11
64,2000,2465
64,2001,2637.04
64,2002,2549.68
64,2003,2008.12
64,2004,3210.68
64,2005,2467.82
64,2006,2230.83
64,2007,8876.21
64,2008,7577.14
64,2009,9130.85
64,2010,12761.88
64,2011,13796.47
64,2012,16911.6
64,2013,15108.94
64,2014,22469.08
64,2015,27717.64
65,2000,9515.43
65,2001,10769.02
65,2002,10314.69
65,2003,11911.6
65,2004,12414.15
65,2005,11092.29
65,2006,13466.81
65,2007,12968.58
65,2008,13019.65
65,2009,15283.04
65,2010,14624.33
65,2011,17616.53
65,2012,17835.5
65,2013,19039.15
65,2014,21984.9
65,2015,24014.75
66,2000,27570.53
66,2001,22266.5
66,2002,21389.9
66,2003,21688.31
66,2004,21421.82
66,2005,17054.76
66,2006,15372.08
66,2007,15369.99
66,2008,18170.26
66,2009,16144.19
66,2010,17019.31
66,2011,17994.27
66,2012,19935.73
66,2013,23269.45
66,2014,36956.03
66,2015,42708.6
67,2000,1585.17
67,2001,1531.46
67,2002,1477.77
67,2003,4656.55
67,2004,3221.83
67,2005,3091.13
67,2006,2533.6
67,2007,5407.3
67,2008,5917.24
67,2009,6845.47
67,2010,7153.53
67,2011,8626.55
67,2012,20002.21
67,2013,23391.03
67,2014,27085.97
67,2015,36700.99
69,2000,1011.43
69,2001,975.9
69,2002,940.38
69,2003,904.85
69,2004,869.32
69,2005,833.8
69,2006,798.27
69,2007,1585.48
69,2008,2120.31
69,2009,739.95
69,2010,922.63
69,2011,1596.4
69,2012,2527.44
69,2013,2651.66
69,2014,1764.98
69,2015,1482.78
70,2000,11259.79
70,2001,8975.67
70,2002,11525.17
70,2003,13846.67
70,2004,11393.99
70,2005,12509.27
70,2006,12450.09
70,2007,13476.78
70,2008,17706.72
70,2009,19213.97
70,2010,21746.49
70,2011,24030.27
70,2012,23145.68
70,2013,27088.1
