"","InvestorDelinquentTaxTotal","PctUnderPoverty","MedianHouseholdIncome","TotalVacancyRate","MedianRent","RentAsPctOfIncome"
"42101000100",40919.62,12,73041,"14.9","1545","79"
"42101000401",2391.36,34.7,21832,"10.0","940","64"
"42101001002",17724,10.5,90699,"7.0","1568","47"
"42101001101",2047.52,29,45203,"16.3","1128","50"
"42101001300",10319.21,22.2,53947,"13.0","1278","46"
"42101001400",23771.57,14.6,58125,"16.1","1004","24"
"42101001500",3920.09,7.4,62591,"12.3","1353","26"
"42101001800",2928.02,16.1,58968,"11.7","1284","7"
"42101001900",34386.17,28.7,48523,"10.9","1036","13"
"42101002000",7635.66,51.4,14153,"22.8","976","18"
"42101002100",12210.36,18.9,30197,"24.0","1069","15"
"42101002400",5439.58,20.1,39080,"15.5","1083","0"
"42101002500",87533.75,35.5,27123,"13.4","831","16"
"42101002701",13387.74,29.1,24291,"17.7","836","52"
"42101002702",20906.13,9.6,58828,"9.7","1031","13"
"42101002801",7931.31,26.2,29076,"20.2","934","87"
"42101002802",3441.79,25.8,40927,"9.7","1031","29"
"42101002900",9680.92,18,43828,"8.2","881","69"
"42101003001",13465.16,23.7,31243,"12.9","823","14"
"42101003002",9031.27,39.4,21910,"20.7","803","60"
"42101003100",10885.3,28.1,24091,"21.3","826","64"
"42101003200",11657.83,32.2,25980,"25.0","919","107"
"42101003300",16148.39,40.8,24097,"15.3","898","77"
"42101003600",3586.98,49.7,18487,"5.2","395","233"
"42101003701",8516.94,32.8,29379,"24.1","975","123"
"42101003702",1451.8,34.7,31328,"8.4","929","93"
"42101003800",7678.02,6.7,52031,"7.6","948","53"
"42101003901",751.39,18.2,39000,"8.3","898","75"
"42101004001",12492.51,20.4,35441,"8.4","892","26"
"42101004002",193.01,12.9,40000,"10.5","1024","70"
"42101004101",16821.88,38.4,22220,"11.4","840","54"
"42101004102",25865.47,26.5,35544,"10.9","1001","116"
"42101004201",7571.94,21.8,40278,"9.9","1014","55"
"42101004202",5770.22,15.3,38237,"3.1","1102","29"
"42101005500",8969.34,18.7,47708,"6.1","1109","41"
"42101006000",16786.92,4.1,46343,"9.2","822","51"
"42101006100",1322.92,13,45185,"9.4","1089","16"
"42101006200",6076.12,30.9,29899,"13.0","1075","25"
"42101006300",41140.79,40.3,26324,"20.5","839","100"
"42101006400",13274.52,29.7,31264,"19.2","853","53"
"42101006500",13477.62,36.3,32171,"18.5","791","104"
"42101006600",28631.69,36,26624,"18.5","817","48"
"42101006700",27928.55,33,28049,"16.5","901","88"
"42101006900",1223.88,47.9,20030,"13.8","414","35"
"42101007000",21627.53,23.6,33702,"17.4","719","59"
"42101007101",8220.52,36.5,30586,"17.9","754","44"
"42101007102",10677.61,34.4,26590,"12.0","959","126"
"42101007200",7180.6,33.2,27007,"21.8","737","60"
"42101007300",4894.28,23.8,24741,"16.3","706","0"
"42101007400",9189.98,34.9,25714,"17.5","790","176"
"42101007800",25674.57,21.5,39759,"14.0","876","70"
"42101007900",4165.13,15.5,40115,"10.8","861","16"
"42101008000",308.78,24.8,33511,"27.0","776","8"
"42101008101",14722.3,38,25110,"18.1","817","47"
"42101008102",13708.4,19.1,32423,"15.7","964","30"
"42101008200",18115.46,20.8,37708,"17.6","979","15"
"42101008301",24487.26,30.8,23484,"16.9","717","71"
"42101008302",10321.25,39,22706,"21.5","885","92"
"42101008400",14277.22,34.9,27313,"16.9","881","62"
"42101008500",45650.88,30.9,25547,"22.2","846","98"
"42101008602",2516.93,25.8,26963,"21.9","838","125"
"42101008701",4658.67,28.3,31062,"3.2","956","253"
"42101008802",2063.63,75,12077,"12.4","1037","399"
"42101009000",6061.51,52.2,23315,"13.0","994","284"
"42101009100",1191.32,40.4,14438,"11.7","726","157"
"42101009200",8866.13,34.1,19696,"18.1","474","121"
"42101009300",30418.09,38,26838,"29.5","772","79"
"42101009400",12298.44,45,19917,"12.1","574","117"
"42101009500",13651.34,35.4,19516,"22.8","804","63"
"42101009600",33550.37,25.3,25843,"24.7","873","97"
"42101009802",221.25,15,50429,"9.0","1332","99"
"42101010000",1871.55,18.7,43262,"15.0","881","86"
"42101010100",22161.88,23.7,31092,"13.2","941","80"
"42101010200",18919.08,37.9,17219,"17.8","625","103"
"42101010300",9827.07,39.9,21164,"24.1","850","83"
"42101010400",25083.48,37.1,26047,"21.4","831","81"
"42101010500",15410.44,40,19247,"12.3","356","76"
"42101010600",14870.92,26.4,27991,"32.9","505","26"
"42101010700",23323.75,30.9,18965,"31.7","785","142"
"42101010800",54779.09,56.2,19147,"27.0","747","105"
"42101010900",12079.25,47.1,21063,"27.0","814","122"
"42101011000",53250.14,29.7,23506,"30.9","788","37"
"42101011100",30844.86,46,20602,"27.6","850","111"
"42101011200",24283.15,36.6,25261,"20.7","828","68"
"42101011300",17329.45,26.8,38438,"20.3","731","110"
"42101011400",18012.22,31.6,32599,"8.1","837","83"
"42101011500",3030.58,19.3,50823,"8.6","1100","19"
"42101011700",10867.35,24.5,57813,"10.1","822","17"
"42101011800",24427.5,19.6,35365,"8.5","876","150"
"42101011900",37955.09,24.2,39322,"17.1","826","157"
"42101013200",2181.55,39.8,14946,"9.3","426","44"
"42101013300",640.89,41.9,42031,"10.9","1256","73"
"42101013402",3336.41,14.1,75639,"10.7","1152","32"
"42101013500",2311.95,20.9,47679,"9.7","1088","14"
"42101013700",22792.7,52.2,18760,"27.4","937","61"
"42101013800",6819.05,32.7,18063,"24.4","848","28"
"42101013900",1208.48,58.9,12844,"17.8","533","72"
"42101014000",2457.04,46.4,22656,"30.6","895","130"
"42101014100",23408.28,47.8,14583,"12.9","500","45"
"42101014300",1920.41,8.4,54438,"15.6","1171","12"
"42101014400",13387.35,27.4,26034,"19.7","1034","40"
"42101014500",557.92,50.7,15485,"6.6","475","29"
"42101014600",2155.2,33.5,19623,"8.5","710","15"
"42101014700",633.99,57.5,9666,"27.5","905","112"
"42101014800",515.84,40.4,9904,"13.9","304","20"
"42101014900",20174.62,41.8,20335,"23.7","699","199"
"42101015101",6920.81,34.3,25852,"33.4","671","56"
"42101015102",17355.27,61.7,11048,"28.0","456","225"
"42101015200",27651.91,62,14741,"24.5","601","70"
"42101015300",2870.7,59.3,10848,"35.3","918","53"
"42101015600",9120.85,49.6,15885,"11.3","740","23"
"42101015700",49643.76,37.7,24966,"21.1","800","51"
"42101015800",827.35,13,53967,"8.0","914","80"
"42101016000",4587.96,14.6,49430,"15.5","1050","12"
"42101016100",11801.99,35.9,21384,"18.4","784","60"
"42101016200",5848.21,51.8,12449,"13.6","735","38"
"42101016300",30382.89,55.9,14543,"11.8","765","108"
"42101016400",21104.05,49.3,12365,"23.9","563","165"
"42101016500",24003.06,52.5,12500,"29.4","399","38"
"42101016600",12353.95,38.8,13977,"25.7","636","90"
"42101016701",17163.89,27.6,26466,"34.8","820","95"
"42101016702",22039.52,56.7,14473,"26.5","749","120"
"42101016800",16972.41,35,30830,"22.7","780","159"
"42101016901",60770.85,35.1,19491,"28.6","767","60"
"42101016902",24335.57,36.5,22593,"30.7","764","94"
"42101017000",5191.77,39.8,21869,"9.9","918","129"
"42101017100",21620.29,44.3,18250,"18.6","925","74"
"42101017201",18919.77,32.5,25437,"22.0","906","30"
"42101017202",15900.95,36.9,18842,"31.5","684","139"
"42101017300",14405.08,33.8,21016,"15.2","709","70"
"42101017400",34430.57,46.1,17535,"21.5","633","9"
"42101017500",53108.91,65.1,13601,"15.6","804","112"
"42101017601",43149.58,62.7,10754,"18.6","723","73"
"42101017602",26861.46,44,21118,"8.6","796","90"
"42101017701",22153.11,61.6,15141,"27.7","912","38"
"42101017702",44109.71,57.6,20144,"16.1","832","119"
"42101017800",36736.95,54.2,20824,"21.3","790","189"
"42101017900",26218.1,40.7,23875,"7.9","967","20"
"42101018001",16.21,13.2,35625,"11.6","753","27"
"42101018002",2142.01,26.2,32298,"9.0","831","59"
"42101018800",38115.71,52.2,20779,"17.7","846","143"
"42101019000",9902.58,38.5,29140,"6.5","914","89"
"42101019100",4496.79,30.9,25673,"5.6","927","97"
"42101019200",54788.33,62.1,18780,"15.8","858","74"
"42101019501",17111.17,46.4,15856,"8.2","685","40"
"42101019502",19259.88,54.5,16010,"28.9","783","133"
"42101019700",26138.51,45.1,20440,"7.3","857","165"
"42101019800",42783.63,42.3,21408,"8.4","837","107"
"42101019900",18986.71,51.9,18250,"25.1","749","92"
"42101020000",11193,30.6,30577,"35.5","756","37"
